id,created_at,reference,pac_values_1,pac_values_2,pac_values_3,pac_values_4,total_energy_values_1,total_energy_values_2,total_energy_values_3,total_energy_values_4,year_energy_values_1,year_energy_values_2,year_energy_values_3,year_energy_values_4,year_energy_unit
2797768,May 07 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11787400.0,11642300.0,7200040.0,7026690.0,6566660.0,6510500.0,4057710.0,3849810.0,Wh
2797769,May 07 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11787400.0,11642300.0,7200040.0,7026690.0,6566660.0,6510500.0,4057710.0,3849810.0,Wh
2797770,May 07 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11787400.0,11642300.0,7200040.0,7026690.0,6566660.0,6510500.0,4057710.0,3849810.0,Wh
2797771,May 07 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11787400.0,11642300.0,7200040.0,7026690.0,6566660.0,6510500.0,4057710.0,3849810.0,Wh
2797772,May 07 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11787400.0,11642300.0,7200040.0,7026690.0,6566660.0,6510500.0,4057710.0,3849810.0,Wh
2797773,May 07 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11787400.0,11642300.0,7200040.0,7026690.0,6566660.0,6510500.0,4057710.0,3849810.0,Wh
2797774,May 07 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11787400.0,11642300.0,7200040.0,7026690.0,6566660.0,6510500.0,4057710.0,3849810.0,Wh
2797775,May 07 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11787400.0,11642300.0,7200040.0,7026690.0,6566660.0,6510500.0,4057710.0,3849810.0,Wh
2797776,May 07 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11787400.0,11642300.0,7200040.0,7026690.0,6566660.0,6510500.0,4057710.0,3849810.0,Wh
2797777,May 07 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11787400.0,11642300.0,7200040.0,7026690.0,6566660.0,6510500.0,4057710.0,3849810.0,Wh
2789341,May 06 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11748600.0,11604700.0,7174200.0,7001110.0,6527820.0,6472890.0,4031860.0,3824230.0,Wh
2789342,May 06 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11748600.0,11604700.0,7174200.0,7001110.0,6527820.0,6472890.0,4031860.0,3824230.0,Wh
2789343,May 06 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11748600.0,11604700.0,7174200.0,7001110.0,6527820.0,6472890.0,4031860.0,3824230.0,Wh
2789344,May 06 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11748600.0,11604700.0,7174200.0,7001110.0,6527820.0,6472890.0,4031860.0,3824230.0,Wh
2789345,May 06 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11748600.0,11604700.0,7174200.0,7001110.0,6527820.0,6472890.0,4031860.0,3824230.0,Wh
2789346,May 06 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11748600.0,11604700.0,7174200.0,7001110.0,6527820.0,6472890.0,4031860.0,3824230.0,Wh
2789347,May 06 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11748600.0,11604700.0,7174200.0,7001110.0,6527820.0,6472890.0,4031860.0,3824230.0,Wh
2789348,May 06 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11748600.0,11604700.0,7174200.0,7001110.0,6527820.0,6472890.0,4031860.0,3824230.0,Wh
2789349,May 06 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11748600.0,11604700.0,7174200.0,7001110.0,6527820.0,6472890.0,4031860.0,3824230.0,Wh
2789350,May 06 2022 00:01:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11748600.0,11604700.0,7174200.0,7001110.0,6527820.0,6472890.0,4031860.0,3824230.0,Wh
2774942,May 05 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7376010.0,9036480.0,0.0,0.0,4707210.0,5843990.0,0.0,0.0,Wh
2774943,May 05 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11670100.0,11526500.0,7121240.0,6948580.0,6449350.0,6394660.0,3978900.0,3771700.0,Wh
2774944,May 05 2022 00:00:00,takurika1-inverter,0.0,0.0,0.0,0.0,7376010.0,9036480.0,0.0,0.0,4707210.0,5843990.0,0.0,0.0,Wh
2774945,May 05 2022 00:00:00,comfenalco1-inverter,0.0,0.0,0.0,0.0,11670100.0,11526500.0,7121240.0,6948580.0,6449350.0,6394660.0,3978900.0,3771700.0,Wh
