id,date,energyreal_wac_sum_consumed,energyreal_wac_sum_produced,current_ac_sum,powerreal_p_sum,reference,voltage_ac_phase_average
1207948,"['Jan', '24', '2022', '00:00:23']",1601580.0,5843630.0,4.78273,331.026,takurika1-meter,123.897
1207949,"['Jan', '24', '2022', '00:00:32']",17667900.0,230105.0,39.3175,3952.2,comfenalco1-meter,128.624
1207950,"['Jan', '24', '2022', '00:00:33']",1601580.0,5843630.0,4.77628,330.988,takurika1-meter,123.996
1207951,"['Jan', '24', '2022', '00:00:42']",17667900.0,230105.0,39.4048,3974.19,comfenalco1-meter,128.537
1190453,"['Jan', '23', '2022', '00:00:01']",1597200.0,5840880.0,4.73969,328.985,takurika1-meter,123.955
1190454,"['Jan', '23', '2022', '00:00:04']",17630300.0,230093.0,35.8294,3621.49,comfenalco1-meter,130.531
1190455,"['Jan', '23', '2022', '00:00:04']",6699510.0,6776.0,52.2753,6383.64,edlv-meter,125.599
1190456,"['Jan', '23', '2022', '00:00:11']",1597210.0,5840880.0,4.74266,329.845,takurika1-meter,124.039
1190457,"['Jan', '23', '2022', '00:00:13']",17630300.0,230093.0,35.7677,3619.64,comfenalco1-meter,130.585
1190458,"['Jan', '23', '2022', '00:00:21']",1597210.0,5840880.0,4.74652,328.976,takurika1-meter,123.945
1190459,"['Jan', '23', '2022', '00:00:24']",17630300.0,230093.0,36.3947,3706.6,comfenalco1-meter,130.379
1190460,"['Jan', '23', '2022', '00:00:31']",1597210.0,5840880.0,4.7364,328.885,takurika1-meter,124.159
1190461,"['Jan', '23', '2022', '00:00:33']",17630400.0,230093.0,36.4367,3724.44,comfenalco1-meter,130.687
1190462,"['Jan', '23', '2022', '00:00:41']",1597210.0,5840880.0,4.74585,329.272,takurika1-meter,124.087
1172238,"['Jan', '22', '2022', '00:00:01']",1591890.0,5785980.0,4.76116,329.876,takurika1-meter,125.776
1172239,"['Jan', '22', '2022', '00:00:01']",6605070.0,6670.0,61.525,7251.99,edlv-meter,125.76
1172240,"['Jan', '22', '2022', '00:00:02']",17583000.0,230051.0,58.375,6284.27,comfenalco1-meter,129.232
1172241,"['Jan', '22', '2022', '00:00:11']",1591890.0,5785980.0,4.76199,329.872,takurika1-meter,125.554
1172242,"['Jan', '22', '2022', '00:00:11']",17583000.0,230051.0,58.0238,6227.47,comfenalco1-meter,128.985
1172243,"['Jan', '22', '2022', '00:00:21']",1591900.0,5785980.0,4.75057,329.406,takurika1-meter,125.759
1172244,"['Jan', '22', '2022', '00:00:21']",17583000.0,230051.0,57.5166,6184.61,comfenalco1-meter,129.124
1172245,"['Jan', '22', '2022', '00:00:31']",1591900.0,5785980.0,4.75478,330.456,takurika1-meter,125.902
1172246,"['Jan', '22', '2022', '00:00:32']",17583100.0,230051.0,39.1656,4049.26,comfenalco1-meter,129.157
1172247,"['Jan', '22', '2022', '00:00:41']",1591900.0,5785980.0,4.75989,329.953,takurika1-meter,125.677
1154013,"['Jan', '21', '2022', '00:00:03']",6497610.0,6548.0,49.273,5920.82,edlv-meter,125.418
1154014,"['Jan', '21', '2022', '00:00:04']",17434500.0,229895.0,61.0652,6646.22,comfenalco1-meter,129.628
1154015,"['Jan', '21', '2022', '00:00:07']",1587780.0,5706200.0,4.82848,329.214,takurika1-meter,124.775
1154016,"['Jan', '21', '2022', '00:00:13']",17434500.0,229895.0,85.0252,9638.83,comfenalco1-meter,129.5
1154017,"['Jan', '21', '2022', '00:00:17']",1587780.0,5706200.0,4.81978,329.687,takurika1-meter,124.593
1154018,"['Jan', '21', '2022', '00:00:23']",17434500.0,229895.0,87.3775,9966.53,comfenalco1-meter,129.506
1154019,"['Jan', '21', '2022', '00:00:27']",1587780.0,5706200.0,4.82316,329.741,takurika1-meter,124.636
1154020,"['Jan', '21', '2022', '00:00:33']",17434600.0,229895.0,91.2794,10492.1,comfenalco1-meter,129.571
1154021,"['Jan', '21', '2022', '00:00:37']",1587780.0,5706200.0,4.81967,329.434,takurika1-meter,124.612
